Report Refresh Date,Report Period,Report Date,Designers,Respondents,Total Users
2022-04-05,180,2022-04-05,23,92,112
2022-04-05,180,2022-04-04,23,147,161
2022-04-05,180,2022-04-03,4,19,20
2022-04-05,180,2022-04-02,3,16,18
2022-04-05,180,2022-04-01,12,112,121
2022-04-05,180,2022-03-31,22,153,164
2022-04-05,180,2022-03-30,20,231,243
2022-04-05,180,2022-03-29,20,691,704
2022-04-05,180,2022-03-28,19,531,547
2022-04-05,180,2022-03-27,4,26,30
2022-04-05,180,2022-03-26,1,18,19
2022-04-05,180,2022-03-25,20,525,538
2022-04-05,180,2022-03-24,19,275,288
2022-04-05,180,2022-03-23,23,162,179
2022-04-05,180,2022-03-22,21,136,151
2022-04-05,180,2022-03-21,26,141,158
2022-04-05,180,2022-03-20,2,26,28
2022-04-05,180,2022-03-19,1,12,13
2022-04-05,180,2022-03-18,13,117,125
2022-04-05,180,2022-03-17,19,87,104
2022-04-05,180,2022-03-16,24,97,115
2022-04-05,180,2022-03-15,18,130,143
2022-04-05,180,2022-03-14,22,121,134
2022-04-05,180,2022-03-13,2,30,31
2022-04-05,180,2022-03-12,0,14,14
2022-04-05,180,2022-03-11,14,135,146
2022-04-05,180,2022-03-10,18,138,152
2022-04-05,180,2022-03-09,25,186,202
2022-04-05,180,2022-03-08,23,131,149
2022-04-05,180,2022-03-07,21,156,172
2022-04-05,180,2022-03-06,5,34,36
2022-04-05,180,2022-03-05,2,16,18
2022-04-05,180,2022-03-04,18,181,193
2022-04-05,180,2022-03-03,7,26,31
2022-04-05,180,2022-03-02,16,284,294
2022-04-05,180,2022-03-01,14,102,109
2022-04-05,180,2022-02-28,8,83,90
2022-04-05,180,2022-02-27,1,23,24
2022-04-05,180,2022-02-26,2,19,21
2022-04-05,180,2022-02-25,22,207,227
2022-04-05,180,2022-02-24,16,231,241
2022-04-05,180,2022-02-23,17,208,223
2022-04-05,180,2022-02-22,23,185,202
2022-04-05,180,2022-02-21,19,363,375
2022-04-05,180,2022-02-20,6,63,66
2022-04-05,180,2022-02-19,5,16,19
2022-04-05,180,2022-02-18,11,273,283
2022-04-05,180,2022-02-17,21,146,159
2022-04-05,180,2022-02-16,13,212,219
2022-04-05,180,2022-02-15,19,308,324
2022-04-05,180,2022-02-14,24,185,203
2022-04-05,180,2022-02-13,6,56,61
2022-04-05,180,2022-02-12,2,25,26
2022-04-05,180,2022-02-11,19,182,194
2022-04-05,180,2022-02-10,17,456,466
2022-04-05,180,2022-02-09,17,345,352
2022-04-05,180,2022-02-08,18,173,185
2022-04-05,180,2022-02-07,25,202,221
2022-04-05,180,2022-02-06,9,43,52
2022-04-05,180,2022-02-05,5,23,28
2022-04-05,180,2022-02-04,25,341,357
2022-04-05,180,2022-02-03,25,327,346
2022-04-05,180,2022-02-02,26,205,225
2022-04-05,180,2022-02-01,9,77,84
2022-04-05,180,2022-01-31,23,150,169
2022-04-05,180,2022-01-30,8,77,82
2022-04-05,180,2022-01-29,5,16,21
2022-04-05,180,2022-01-28,21,174,190
2022-04-05,180,2022-01-27,22,143,161
2022-04-05,180,2022-01-26,25,429,446
2022-04-05,180,2022-01-25,26,314,336
2022-04-05,180,2022-01-24,21,184,204
2022-04-05,180,2022-01-23,7,90,97
2022-04-05,180,2022-01-22,4,22,25
2022-04-05,180,2022-01-21,21,81,95
2022-04-05,180,2022-01-20,20,128,143
2022-04-05,180,2022-01-19,27,123,146
2022-04-05,180,2022-01-18,22,184,199
2022-04-05,180,2022-01-17,16,230,240
2022-04-05,180,2022-01-16,10,70,75
2022-04-05,180,2022-01-15,6,19,23
2022-04-05,180,2022-01-14,20,171,182
2022-04-05,180,2022-01-13,19,157,174
2022-04-05,180,2022-01-12,13,141,151
2022-04-05,180,2022-01-11,17,186,200
2022-04-05,180,2022-01-10,17,193,204
2022-04-05,180,2022-01-09,5,71,74
2022-04-05,180,2022-01-08,1,15,15
2022-04-05,180,2022-01-07,9,122,129
2022-04-05,180,2022-01-06,20,344,359
2022-04-05,180,2022-01-05,8,113,120
2022-04-05,180,2022-01-04,19,169,186
2022-04-05,180,2022-01-03,17,207,219
2022-04-05,180,2022-01-02,4,73,76
2022-04-05,180,2022-01-01,3,18,21
2022-04-05,180,2021-12-31,18,160,173
2022-04-05,180,2021-12-30,14,141,150
2022-04-05,180,2021-12-29,21,478,493
2022-04-05,180,2021-12-28,13,147,158
2022-04-05,180,2021-12-27,10,117,127
2022-04-05,180,2021-12-26,2,49,50
2022-04-05,180,2021-12-25,2,2,4
2022-04-05,180,2021-12-24,14,75,88
2022-04-05,180,2021-12-23,11,80,90
2022-04-05,180,2021-12-22,14,118,130
2022-04-05,180,2021-12-21,26,104,129
2022-04-05,180,2021-12-20,13,136,147
2022-04-05,180,2021-12-19,11,107,117
2022-04-05,180,2021-12-18,4,34,36
2022-04-05,180,2021-12-17,11,64,74
2022-04-05,180,2021-12-16,23,375,394
2022-04-05,180,2021-12-15,27,292,308
2022-04-05,180,2021-12-14,29,180,205
2022-04-05,180,2021-12-13,31,327,351
2022-04-05,180,2021-12-12,9,387,393
2022-04-05,180,2021-12-11,9,383,390
2022-04-05,180,2021-12-10,26,117,137
2022-04-05,180,2021-12-09,34,162,189
2022-04-05,180,2021-12-08,22,122,141
2022-04-05,180,2021-12-07,26,208,227
2022-04-05,180,2021-12-06,28,227,252
2022-04-05,180,2021-12-05,8,69,75
2022-04-05,180,2021-12-04,3,33,36
2022-04-05,180,2021-12-03,24,205,226
2022-04-05,180,2021-12-02,25,214,235
2022-04-05,180,2021-12-01,32,268,293
2022-04-05,180,2021-11-30,37,628,655
2022-04-05,180,2021-11-29,37,704,731
2022-04-05,180,2021-11-28,15,70,85
2022-04-05,180,2021-11-27,9,30,39
2022-04-05,180,2021-11-26,29,295,319
2022-04-05,180,2021-11-25,39,351,382
2022-04-05,180,2021-11-24,40,510,540
2022-04-05,180,2021-11-23,34,781,810
2022-04-05,180,2021-11-22,29,168,193
2022-04-05,180,2021-11-21,17,57,74
2022-04-05,180,2021-11-20,4,21,25
2022-04-05,180,2021-11-19,30,230,251
2022-04-05,180,2021-11-18,25,252,272
2022-04-05,180,2021-11-17,23,307,327
2022-04-05,180,2021-11-16,31,174,197
2022-04-05,180,2021-11-15,26,151,172
2022-04-05,180,2021-11-14,13,44,54
2022-04-05,180,2021-11-13,5,7,11
2022-04-05,180,2021-11-12,23,149,167
2022-04-05,180,2021-11-11,20,229,244
2022-04-05,180,2021-11-10,35,339,364
2022-04-05,180,2021-11-09,25,205,224
2022-04-05,180,2021-11-08,27,159,180
2022-04-05,180,2021-11-07,10,46,54
2022-04-05,180,2021-11-06,2,16,18
2022-04-05,180,2021-11-05,26,110,130
2022-04-05,180,2021-11-04,19,209,226
2022-04-05,180,2021-11-03,19,162,180
2022-04-05,180,2021-11-02,21,166,184
2022-04-05,180,2021-11-01,22,134,154
2022-04-05,180,2021-10-31,9,44,51
2022-04-05,180,2021-10-30,2,18,20
2022-04-05,180,2021-10-29,20,145,164
2022-04-05,180,2021-10-28,15,169,184
2022-04-05,180,2021-10-27,13,136,149
2022-04-05,180,2021-10-26,15,110,124
2022-04-05,180,2021-10-25,21,232,248
2022-04-05,180,2021-10-24,3,41,44
2022-04-05,180,2021-10-23,3,24,27
2022-04-05,180,2021-10-22,20,178,194
2022-04-05,180,2021-10-21,18,110,127
2022-04-05,180,2021-10-20,5,48,52
2022-04-05,180,2021-10-19,13,99,112
2022-04-05,180,2021-10-18,20,166,184
2022-04-05,180,2021-10-17,5,79,83
2022-04-05,180,2021-10-16,5,477,482
2022-04-05,180,2021-10-15,23,423,442
2022-04-05,180,2021-10-14,24,163,181
2022-04-05,180,2021-10-13,17,162,176
2022-04-05,180,2021-10-12,20,140,158
2022-04-05,180,2021-10-11,18,185,201
2022-04-05,180,2021-10-10,7,59,65
2022-04-05,180,2021-10-09,4,29,31
2022-04-05,180,2021-10-08,16,120,136
