Report Refresh Date,Viewed Or Edited,Synced,Shared Internally,Shared Externally,Report Date,Report Period
2022-09-10,359,107,74,2,2022-09-10,180
2022-09-10,2073,484,1046,31,2022-09-09,180
2022-09-10,2213,523,1141,33,2022-09-08,180
2022-09-10,2299,548,1233,23,2022-09-07,180
2022-09-10,2298,570,1255,38,2022-09-06,180
2022-09-10,2335,572,1234,43,2022-09-05,180
2022-09-10,547,182,135,2,2022-09-04,180
2022-09-10,413,110,97,1,2022-09-03,180
2022-09-10,2151,516,1050,33,2022-09-02,180
2022-09-10,2300,589,1123,37,2022-09-01,180
2022-09-10,2226,557,1159,44,2022-08-31,180
2022-09-10,2244,555,1197,36,2022-08-30,180
2022-09-10,2326,578,1172,30,2022-08-29,180
2022-09-10,560,182,140,5,2022-08-28,180
2022-09-10,461,144,100,3,2022-08-27,180
2022-09-10,2204,489,1108,32,2022-08-26,180
2022-09-10,2187,523,1119,27,2022-08-25,180
2022-09-10,2238,511,1108,31,2022-08-24,180
2022-09-10,2223,523,1114,34,2022-08-23,180
2022-09-10,2225,555,1180,35,2022-08-22,180
2022-09-10,614,180,137,,2022-08-21,180
2022-09-10,498,138,122,3,2022-08-20,180
2022-09-10,1950,487,989,34,2022-08-19,180
2022-09-10,2246,541,1075,37,2022-08-18,180
2022-09-10,666,193,148,5,2022-08-17,180
2022-09-10,2316,561,1157,24,2022-08-16,180
2022-09-10,2345,568,1190,51,2022-08-15,180
2022-09-10,584,169,143,1,2022-08-14,180
2022-09-10,383,111,112,4,2022-08-13,180
2022-09-10,2140,539,1074,34,2022-08-12,180
2022-09-10,2235,582,1108,36,2022-08-11,180
2022-09-10,2351,562,1142,34,2022-08-10,180
2022-09-10,2219,552,1114,31,2022-08-09,180
2022-09-10,2265,575,1178,38,2022-08-08,180
2022-09-10,553,171,136,1,2022-08-07,180
2022-09-10,371,121,96,1,2022-08-06,180
2022-09-10,2113,511,1102,25,2022-08-05,180
2022-09-10,2163,539,1167,58,2022-08-04,180
2022-09-10,2165,519,1147,47,2022-08-03,180
2022-09-10,2133,518,1085,68,2022-08-02,180
2022-09-10,2138,525,1111,51,2022-08-01,180
2022-09-10,463,132,106,6,2022-07-31,180
2022-09-10,314,88,75,2,2022-07-30,180
2022-09-10,1908,498,987,38,2022-07-29,180
2022-09-10,2048,530,1035,51,2022-07-28,180
2022-09-10,2139,518,1125,47,2022-07-27,180
2022-09-10,2187,553,1121,38,2022-07-26,180
2022-09-10,2168,550,1124,43,2022-07-25,180
2022-09-10,481,153,103,4,2022-07-24,180
2022-09-10,426,122,109,1,2022-07-23,180
2022-09-10,1890,534,941,46,2022-07-22,180
2022-09-10,1899,589,854,40,2022-07-21,180
2022-09-10,2194,540,1109,43,2022-07-20,180
2022-09-10,2153,527,1129,42,2022-07-19,180
2022-09-10,2109,535,1069,44,2022-07-18,180
2022-09-10,495,182,137,3,2022-07-17,180
2022-09-10,340,107,90,1,2022-07-16,180
2022-09-10,1878,465,972,38,2022-07-15,180
2022-09-10,1948,488,980,32,2022-07-14,180
2022-09-10,1987,507,1025,38,2022-07-13,180
2022-09-10,1956,513,979,42,2022-07-12,180
2022-09-10,2028,512,1030,36,2022-07-11,180
2022-09-10,411,126,95,3,2022-07-10,180
2022-09-10,344,110,62,2,2022-07-09,180
2022-09-10,1956,494,1034,54,2022-07-08,180
2022-09-10,2149,507,1133,54,2022-07-07,180
2022-09-10,2127,535,1162,48,2022-07-06,180
2022-09-10,2182,551,1165,51,2022-07-05,180
2022-09-10,2260,557,1164,63,2022-07-04,180
2022-09-10,531,171,122,8,2022-07-03,180
2022-09-10,391,118,101,8,2022-07-02,180
2022-09-10,1950,543,990,52,2022-07-01,180
2022-09-10,2138,548,1072,61,2022-06-30,180
2022-09-10,2145,532,1075,77,2022-06-29,180
2022-09-10,2099,543,1076,59,2022-06-28,180
2022-09-10,2037,537,1060,64,2022-06-27,180
2022-09-10,579,173,124,7,2022-06-26,180
2022-09-10,435,134,138,14,2022-06-25,180
2022-09-10,1830,471,921,34,2022-06-24,180
2022-09-10,2082,509,1056,49,2022-06-23,180
2022-09-10,1937,527,1024,57,2022-06-22,180
2022-09-10,2034,502,1080,65,2022-06-21,180
2022-09-10,2111,558,1102,67,2022-06-20,180
2022-09-10,635,184,193,8,2022-06-19,180
2022-09-10,494,136,159,8,2022-06-18,180
2022-09-10,1966,487,1010,47,2022-06-17,180
2022-09-10,2041,552,1034,61,2022-06-16,180
2022-09-10,2122,566,1098,53,2022-06-15,180
2022-09-10,2166,583,1153,58,2022-06-14,180
2022-09-10,2159,578,1186,61,2022-06-13,180
2022-09-10,598,199,160,6,2022-06-12,180
2022-09-10,448,142,149,2,2022-06-11,180
2022-09-10,1916,514,1064,55,2022-06-10,180
2022-09-10,2050,553,1135,57,2022-06-09,180
2022-09-10,2045,557,1087,67,2022-06-08,180
2022-09-10,2129,546,1171,59,2022-06-07,180
2022-09-10,2214,551,1156,65,2022-06-06,180
2022-09-10,613,196,159,5,2022-06-05,180
2022-09-10,467,137,129,2,2022-06-04,180
2022-09-10,2018,516,1038,55,2022-06-03,180
2022-09-10,2117,534,1115,57,2022-06-02,180
2022-09-10,748,218,213,7,2022-06-01,180
2022-09-10,2121,525,1106,43,2022-05-31,180
2022-09-10,2062,530,1108,60,2022-05-30,180
2022-09-10,503,178,129,5,2022-05-29,180
2022-09-10,425,142,113,3,2022-05-28,180
2022-09-10,1866,458,987,53,2022-05-27,180
2022-09-10,529,187,133,3,2022-05-26,180
2022-09-10,1982,492,1037,53,2022-05-25,180
2022-09-10,2030,498,1094,65,2022-05-24,180
2022-09-10,2108,520,1120,60,2022-05-23,180
2022-09-10,614,193,185,3,2022-05-22,180
2022-09-10,445,159,147,6,2022-05-21,180
2022-09-10,1868,476,958,47,2022-05-20,180
2022-09-10,2002,523,1081,59,2022-05-19,180
2022-09-10,1955,522,1065,61,2022-05-18,180
2022-09-10,2062,490,1023,55,2022-05-17,180
2022-09-10,731,212,216,14,2022-05-16,180
2022-09-10,347,115,76,3,2022-05-15,180
2022-09-10,376,118,103,4,2022-05-14,180
2022-09-10,1883,502,962,50,2022-05-13,180
2022-09-10,1861,547,957,53,2022-05-12,180
2022-09-10,1797,495,975,57,2022-05-11,180
2022-09-10,1775,467,869,44,2022-05-10,180
2022-09-10,1673,485,764,48,2022-05-09,180
2022-09-10,340,119,69,4,2022-05-08,180
2022-09-10,155,60,24,1,2022-05-07,180
2022-09-10,112,45,19,1,2022-05-06,180
2022-09-10,79,38,19,,2022-05-05,180
2022-09-10,84,35,16,,2022-05-04,180
2022-09-10,92,33,4,,2022-05-03,180
2022-09-10,55,19,3,,2022-05-02,180
2022-09-10,123,66,18,,2022-05-01,180
2022-09-10,126,61,19,,2022-04-30,180
2022-09-10,241,92,46,1,2022-04-29,180
2022-09-10,1651,427,836,48,2022-04-28,180
2022-09-10,1818,460,955,56,2022-04-27,180
2022-09-10,1881,482,992,50,2022-04-26,180
2022-09-10,1943,497,1035,57,2022-04-25,180
2022-09-10,538,178,183,6,2022-04-24,180
2022-09-10,411,144,114,5,2022-04-23,180
2022-09-10,1887,484,973,45,2022-04-22,180
2022-09-10,2018,509,1010,69,2022-04-21,180
2022-09-10,1959,536,1028,72,2022-04-20,180
2022-09-10,2157,512,1045,61,2022-04-19,180
2022-09-10,2007,532,1060,46,2022-04-18,180
2022-09-10,616,201,175,7,2022-04-17,180
2022-09-10,436,167,113,3,2022-04-16,180
2022-09-10,484,168,134,3,2022-04-15,180
2022-09-10,2006,512,1028,55,2022-04-14,180
2022-09-10,2062,513,1044,63,2022-04-13,180
2022-09-10,2016,493,1055,58,2022-04-12,180
2022-09-10,2084,495,1103,61,2022-04-11,180
2022-09-10,701,224,208,9,2022-04-10,180
2022-09-10,502,160,137,,2022-04-09,180
2022-09-10,2014,508,1022,59,2022-04-08,180
2022-09-10,2053,517,1053,42,2022-04-07,180
2022-09-10,2035,507,1074,57,2022-04-06,180
2022-09-10,2067,531,1090,57,2022-04-05,180
2022-09-10,2123,539,1058,58,2022-04-04,180
2022-09-10,614,228,152,3,2022-04-03,180
2022-09-10,373,163,83,2,2022-04-02,180
2022-09-10,1930,546,1001,57,2022-04-01,180
2022-09-10,1969,510,1050,60,2022-03-31,180
2022-09-10,2044,527,1058,48,2022-03-30,180
2022-09-10,1945,513,1012,61,2022-03-29,180
2022-09-10,1932,492,1042,68,2022-03-28,180
2022-09-10,505,208,133,5,2022-03-27,180
2022-09-10,399,153,90,2,2022-03-26,180
2022-09-10,1916,455,1015,54,2022-03-25,180
2022-09-10,2036,513,1098,59,2022-03-24,180
2022-09-10,2063,499,1121,46,2022-03-23,180
2022-09-10,1970,517,1119,71,2022-03-22,180
2022-09-10,1931,505,1046,71,2022-03-21,180
2022-09-10,471,215,97,,2022-03-20,180
2022-09-10,330,124,82,2,2022-03-19,180
2022-09-10,1815,452,948,68,2022-03-18,180
2022-09-10,1923,468,1049,71,2022-03-17,180
2022-09-10,1935,455,1080,65,2022-03-16,180
2022-09-10,1992,477,1093,68,2022-03-15,180
